date,sample_id,Data,postPatch,percent_cdna_longer_than_400bp,amplified_quantity_ng,Genes.Detected.CPM,Tree_call,marker_sum_norm_label,Total_time,Total_time_min,Total_time_bins
171012,PAS4_171012_451_A01,Production,nucleus_absent,0.848,21.13063441,7604,I2,0.93785874769896,490.0,8.166666666666666,5-10
171012,P2S4_171012_051_A01,Production,nucleus_absent,0.154,76.80312821,1665,PoorQ,0.543165066682375,511.0,8.516666666666667,5-10
171012,P8S4_171012_352_A01,Production,nucleus_present,0.289,9.629906474,3384,PoorQ,0.3222651688303789,530.0,8.833333333333334,5-10
171013,P8S4_171013_354_A01,Production,nucleus_absent,0.127,23.12214798,1964,PoorQ,0.115458486061386,660.0,11.0,10-15
171013,PBS4_171013_501_A01,Production,nucleus_absent,0.48200000000000004,5.548549392999999,4447,PoorQ,0.413507474462099,319.0,5.316666666666666,5-10
171013,PBS4_171013_505_A01,Production,nucleus_present,0.7170000000000001,30.12301257,8763,PoorQ,0.716271690456009,390.0,6.5,5-10
171013,PBS4_171013_504_A01,Production,nucleus_absent,0.429,9.462155029,3793,I2,0.39513670416915997,561.0,9.35,5-10
171013,P8S4_171013_353_A01,Production,nucleus_present,0.4,29.52782705,7966,I1,0.823019496667205,618.0,10.3,10-15
171013,PBS4_171013_503_A01,Production,nucleus_present,0.642,11.84700639,6418,Core,0.9156945904255891,414.0,6.9,5-10
171013,PBS4_171013_502_A01,Production,nucleus_present,0.424,17.9062865,6309,Core,0.835164887860533,421.0,7.016666666666667,5-10
171013,P8S4_171013_352_A01,Production,nucleus_present,0.42700000000000005,21.67011783,5669,Core,0.9440662760315491,456.0,7.6,5-10
171013,PAS4_171013_451_A01,Production,nucleus_absent,0.318,9.382689842000001,4199,PoorQ,0.0519933585788155,443.0,7.383333333333334,5-10
171016,P8S4_171016_355_A01,Production,nucleus_present,0.299,22.48487657,5541,I2,0.5086213920899411,724.0,12.066666666666666,10-15
171016,PBS4_171016_504_A01,Production,nucleus_present,0.505,30.49114765,8502,Core,1.1344713586180801,485.0,8.083333333333334,5-10
